주소,위도,경도
경기도 용인시 수지구 풍덕천로 127,37.317100,127.099630
서울특별시 중랑구 면목로 437,37.606410,127.092890
경기도 화성시 동탄순환대로 686,37.198260,126.831370
경기도 시흥시 장현장곡로 6,37.382780,126.802450
경기도 수원시 영통구 영통로 135,37.256490,127.044450
경기도 안양시 만안구 만안로 219,37.384710,126.924630
경기도 안양시 만안구 태평로52번길 47,37.384210,126.921530
경기도 오산시 성호대로 121,37.147910,127.082570
서울특별시 강남구 강남대로146길 28,37.517480,127.045440
인천광역시 연수구 하모니로 158,37.452030,126.707550
경기도 김포시 김포한강9로 80,37.613800,126.714990
서울특별시 노원구 상계로37길 2,37.651430,127.058140
경기도 안양시 만안구 안양로 지하301,37.387950,126.921820
서울특별시 강서구 마곡중앙5로 81,37.547340,126.849620
경기도 의왕시 오전로 206,37.342100,126.971190
경기도 수원시 영통구 봉영로 1587,37.255390,127.050680
경기도 광주시 중앙로 108,37.413020,127.255110
경기도 용인시 기흥구 마북로154번길 3,37.277060,127.115550
경기도 화성시 동탄중앙로 76,37.196560,126.832460
경기도 동두천시 지행로 56,37.905740,127.061390
경기도 평택시 용죽3로 24,36.990170,127.081670
경기도 광명시 소하로 78,37.478370,126.867090
인천광역시 부평구 부흥로328번길 3,37.454630,126.709850
서울특별시 관악구 보라매로5길 5,37.478980,126.948540
경기도 고양시 일산동구 중앙로 1130,37.662580,126.773350
경기도 평택시 평택로 35,36.987910,127.082960
경기도 평택시 서재4길 15,36.995840,127.088130
인천광역시 중구 우현로 지하 67,37.567030,127.001890
서울특별시 송파구 위례광장로 120,37.512320,127.110930
경기도양주시평화로1413번길48,37.790050,127.041230
서울특별시 양천구 목동동로8길 19,37.521690,126.863830
강원 강릉시 주문진읍 주문로 75,37.755270,128.872910
경기도 하남시 미사강변대로34번길 90,37.543810,127.212180
서울특별시 동대문구 답십리로 56,37.572260,127.038730
경기도 의정부시 외미로 100,37.733830,127.037810
경기도 부천시 장말로 198,37.501640,126.766630
경기도 부천시 성지로102번길 53,37.499780,126.770790
경기도 화성시 병점노을4로 19,37.194860,126.831580
인천광역시 부평구 장제로 212,37.457500,126.701320
경기도 안산시 단원구 와동공원로 139,37.322400,126.811200
경기도 안산시 단원구 와동로 2,37.315960,126.816050
경기도 수원시 영통구 반달로 21,37.261330,127.042510
경기도 군포시 고산로264번길 1,37.365540,126.933870
경기도 의왕시 오전로 208,37.342990,126.963870
서울특별시 동대문구 장한로 166,37.574750,127.037550
경기도 하남시 미사강변동로 127,37.537060,127.215930
인천광역시 서구 서곶로 45,37.455400,126.703410
경기도 하남시 미사강변남로 103,37.534910,127.212460
경기도 부천시 원미구 신흥로 170,37.501980,126.788070
경기도 용인시 수지구 만현로 100,37.323230,127.093950
경기도 평택시 포승읍 여술2길 35,36.992160,127.085610
서울특별시 노원구 동일로203가길 29,37.651220,127.060340
경기도 오산시 수목원로 462,37.152980,127.075540
경기도 광명시 시청로 50,37.482540,126.862990
서울특별시 강동구 천호대로 997,37.531880,127.127160
서울특별시 관악구 은천로 51,37.483260,126.955040
경기도 용인시 기흥구 흥덕2로87번길 18,37.283620,127.117000
서울특별시 구로구 공원로8길 29,37.494650,126.891420
경기도 부천시 원미구 부천로3번길 48,37.505650,126.784050
인천광역시 부평구 광장로 16,37.456500,126.700570
"서울 구로구 새말로 97,",37.498750,126.886430
인천광역시 남동구 소래역서로 4,37.452750,126.700490
서울특별시 강동구 풍성로 148,37.528560,127.122180
경기도 의왕시 전주남이길 8,37.348570,126.963620
경기도 의정부시 시민로 지하 100,37.737680,127.038340
경기도 안양시 동안구 평촌대로 140,37.391430,126.953010
경기도 수원시 장안구 경수대로 927,37.300810,127.014130
인천광역시 미추홀구 독배로 311,37.454890,126.700330
강원특별자치도 원주시 시청로 74,37.345700,127.916810
경기도 용인시 기흥구 기흥역로 9,37.276720,127.114210
경기도 화성시 동탄반석로 144,37.199410,126.828540
경기도 시흥시 시흥대로1073번길 3,37.382740,126.798860
인천광역시 서구 장고개로337번길 16,37.454380,126.709430
경기도 이천시 증신로 132,37.281130,127.439090
인천광역시 연수구 용담로 129,37.461270,126.702400
경기도 성남시 분당구 황새울로360번길 12,37.387360,127.119780
서울특별시 송파구 송파대로 98,37.510870,127.104360
서울특별시 노원구 한글비석로 250,37.659070,127.061270
서울특별시 금천구 금하로 732,37.453940,126.897720
인천광역시 남동구 호구포로 788,37.454010,126.700510
경기도 평택시 만세로 1838,36.991080,127.085750
강원 태백시 황지로 162,37.161490,128.982970
경기도 화성시 동탄치동천로3길 6-17,37.199970,126.826680
경기도 시흥시 서울대학로264번길 44-4,37.382800,126.799060
경기도 화성시 동탄순환대로 697,37.194600,126.827840
강원특별자치도 원주시 양지로 80,37.340760,127.923070
경기도 부천시 원미구 상동로 112,37.505120,126.788610
경기도 용인시 기흥구 흥덕중앙로 59,37.278390,127.113870
경기도 수원시 영통구 인계로 212,37.257150,127.046270
경기도 남양주시 오남읍 진건오남로 809,37.632370,127.218670
경기도 광주시 능평로30번길 6-19,37.404000,127.257390
경기도 수원시 권선구 금곡로 116,37.262520,126.969110
경기도 수원시 팔달구 중부대로 38,37.283050,127.014780
경기도 부천시 원미구 길주로 246,37.499340,126.791020
서울특별시 용산구 새창로 181,37.537240,126.993940
인천광역시 남동구 호구포로 911,37.460640,126.703120
서울특별시 중랑구 신내로 82,37.607250,127.097290
서울특별시 서초구 잠원로 51,37.483130,127.032440
경기도 광명시 광명로 830,37.480720,126.860520
경기도 평택시 용죽3로 23,36.988500,127.086640
경기도 남양주시 진접읍 해밀예당3로 118,37.632190,127.218320
경기도 하남시 미사강변동로 70,37.543230,127.210190
서울특별시 양천구 신월로 322,37.518130,126.867930
경기도 이천시 어재연로37번길 10,37.278770,127.442550
서울특별시 구로구 서해안로 2336,37.493640,126.885490
강원 삼척시 척주로 6,37.454610,129.164800
서울특별시 노원구 한글비석로 245,37.655610,127.056750
서울특별시 성동구 용답중앙15길 3,37.561760,127.035150
인천광역시 연수구 송도문화로28번길 28,37.460970,126.700890
서울특별시 송파구 위례광장로 136,37.512150,127.104080
경기도 성남시 분당구 판교역로 136,37.382520,127.117420
경기도 평택시 영신1길 39,36.993230,127.089990
경기도 수원시 팔달구 권광로 146,37.279730,127.016690
서울특별시 노원구 월계로45길 21,37.654490,127.059340
서울특별시 용산구 두텁바위로 13,37.531920,126.993850
경기도 하남시 미사강변동로 79,37.539380,127.210160
경기도 성남시 분당구 분당로263번길 39,37.382110,127.118190
경기도 고양시 덕양구 권율대로 885,37.632810,126.835110
서울특별시 영등포구 국회대로50길 20,37.525220,126.892700
서울특별시 노원구 한글비석로52길 30,37.656470,127.054360
서울특별시 송파구 충민로 66,37.511930,127.110480
경기도 화성시 향남읍 발안로 116,37.201720,126.834830
경기도 용인시 처인구 포곡읍 포곡로 113,37.236360,127.205890
서울특별시 양천구 중앙로 237,37.517550,126.862620
경기도 김포시 걸포2로 21,37.618230,126.719610
인천광역시 서구 가정로 363,37.453860,126.701680
경기도 동두천시 지행로 100,37.904570,127.064140
서울특별시 마포구 월드컵로13길 31,37.565330,126.902760
경기도수원시팔달구덕영대로지하90765,37.416050,127.514050
경기도 용인시 기흥구 신갈로 52,37.275950,127.117460
서울특별시 강동구 고덕로 391,37.526500,127.122180
강원 강릉시 용지로 51-1,37.753440,128.878640
경기도 의정부시 청사로 45,37.741700,127.029170
경기도 김포시 김포대로 1425,37.614260,126.718930
인천광역시 중구 영종대로196번길 15-25,37.559690,127.000270
경기도 가평군 가평읍 가화로 143,37.829050,127.509740
서울특별시 종로구 종로 266,37.571920,126.980210
경기도 남양주시 늘을2로 26,37.639630,127.219550
경기도 안양시 동안구 시민대로 181,37.386700,126.957530
서울특별시 서대문구 통일로 438,37.582510,126.932400
서울특별시 강동구 상암로 105,37.533000,127.118910
경기도 여주시 세종로 243,37.299630,127.634590
서울특별시 서초구 효령로 304,37.483550,127.032520
경기도 화성시 봉담읍 동화길 93-2,37.200210,126.827380
경기도 용인시 수지구 광교중앙로 320,37.322220,127.101500
경기도성남시중원구도촌남로27,37.415790,127.521970
경기도 수원시 영통구 영통로 124,37.258820,127.048700
경기도 하남시 신장로 133,37.536500,127.213810
서울특별시 마포구 월드컵북로 187,37.571250,126.902060
경기도 의정부시 장곡로 554,37.736820,127.031360
경기도 오산시 오산로 79,37.149680,127.078960
서울특별시 중랑구 면목로 475,37.609810,127.092110
경기도 광주시 오포로 501-6,37.407300,127.257430
서울특별시 송파구 올림픽로 130,37.518390,127.101600
경기도 광주시 벼루개로 20,37.412510,127.252070
인천광역시서구이음4로6,37.460490,126.703480
경기도 김포시 김포한강7로 93,37.610550,126.717410
경기도 고양시 일산서구 중앙로 1560-34,37.674660,126.756120
경기도 부천시 소사구 경인로 512,37.487430,126.792950
경기도 양평군 용문로 379,37.488750,127.483980
경기도 용인시 처인구 명지로60번길 8-10,37.229740,127.200100
경기도 하남시 미사강변대로 222,37.537620,127.219430
강원특별자치도 원주시 능라동길 48,37.342080,127.920220
경기도 오산시 오산대역로 214,37.147420,127.076590
인천광역시 서구 청라커낼로 323,37.451820,126.708790
서울특별시 종로구 지봉로5길 4,37.576270,126.975400
서울특별시 양천구 오목로 233,37.520400,126.870930
서울특별시 성동구 왕십리광장로 17,37.565970,127.035950
경기도 화성시 봉담읍 상리중심상가길 28-18,37.197750,126.831870
경기도 화성시 동탄솔빛로 67,37.194640,126.830850
경기도 안산시 단원구 중앙대로 409,37.324830,126.814870
서울특별시 동작구 상도로 37,37.508640,126.941360
경기도 하남시 미사강변동로 100-1,37.539120,127.214460
"강원 원주시 중앙시장길 6,",37.341690,127.918040
강원특별자치도 춘천시 춘천로 188,37.880720,127.728120
강원특별자치도 춘천시 안마산로 213,37.877920,127.734720
서울특별시 영등포구 신길로28길 9,37.529570,126.892340
서울특별시 강남구 선릉로 312,37.512630,127.043570
서울특별시 강남구 역삼로 443,37.521040,127.045250
경기도 의정부시 시민로 247,37.733330,127.033020
경기도 수원시 장안구 장안로 9,37.304510,127.014050
경기도 화성시 동탄대로시범길 261,37.194620,126.832960
경기도 의정부시 오목로225번길 157,37.739740,127.032710
경기도 안산시 단원구 중앙대로 921,37.319950,126.810070
경기도 용인시 처인구 중부대로 1299,37.238400,127.202900
인천광역시 중구 하늘별빛로 111,37.566460,126.998220
"경기 평택시 중앙로 2,",36.993040,127.088630
인천광역시연수구앵고개로266,37.454850,126.707310
경기도 남양주시 진접읍 해밀예당1로 171,37.638110,127.218080
경기도 화성시 동탄대로시범길 134,37.199010,126.828300
경기도 파주시 와석순환로 72,37.760720,126.776590
"경기 화성시 동탄솔빛로 64,",37.197040,126.834660
경기도 오산시 원당로 22,37.149580,127.078090
서울특별시 중랑구 동일로143길 78,37.610420,127.091330
"경기 용인시 수지구 풍덕천로96번길 3-7,",37.320050,127.096630
경기도 용인시 처인구 백암면 백암로201번길 19,37.237280,127.197860
강원 원주시 서원대로 111,37.342060,127.917620
경기도 포천시 중앙로 139,37.891080,127.201710
경기도 수원시 팔달구 팔달로107번길 52,37.284300,127.020470
경기도 화성시 남양읍 시청로 107,37.196310,126.828250
"인천 남동구 석산로 146,",37.442550,126.728350
경기도 파주시 청암로17번길 25,37.758170,126.777510
서울특별시 은평구 갈현로 261,37.607010,126.924420
경기도 파주시 책향기로 836,37.760200,126.782630
경기도 고양시 일산서구 하이파크3로78번길 1,37.672360,126.748880
경기도 광주시 포돌이로 35,37.406900,127.256450
인천광역시연수구독배로40번길29,37.456720,126.709310
서울특별시 종로구 사직로8길 4,37.568550,126.975910
인천광역시 부평구 길주로 623,37.457720,126.705090
"서울 서초구 서초대로 385,",37.483160,127.030930
경기도 안산시 단원구 광덕대로 182,37.321490,126.809880
서울특별시 은평구 통일로 747,37.603870,126.926860
"인천 서구 청라루비로 76,",37.541720,126.671750
서울특별시 동작구 상도로 250,37.512290,126.943780
서울특별시 강서구 양천로 461,37.554460,126.853860
경기도 성남시 수정구 수정로 122,37.447940,127.124030
인천광역시 미추홀구 매소홀로562번길 5-44,37.458140,126.709630
강원 원주시 양지로 50,37.345840,127.924570
경기도 부천시 원미구 소향로 181,37.497180,126.786270
경기도 남양주시 다산중앙로172번길 36,37.634360,127.218720
경기 파주시 문산읍 문향로 61-1,37.758570,126.779810
경기도 성남시 분당구 돌마로486번길 6,37.387650,127.121540
서울특별시 광진구 광나루로 369,37.534130,127.085670
서울특별시 양천구 곰달래로 42,37.517440,126.863310
서울특별시 구로구 고척로 148,37.499670,126.882600
경기도 평택시 세교8길 34,36.994480,127.089210
서울특별시 강동구 고덕로 109,37.527060,127.125680
서울특별시 서초구 서초대로19길 77,37.488460,127.031780
인천광역시 부평구 부영로189번길 51,37.457890,126.709660
인천광역시 중구 참외전로 125,37.565200,127.000270
인천광역시 중구 하늘중앙로 272,37.566080,126.999110
경기도 남양주시 별내중앙로 53,37.632650,127.216820
서울특별시 은평구 갈현로 250,37.600970,126.930700
서울특별시 강남구 강남대로84길 16,37.517790,127.050320
경기도 수원시 팔달구 팔달로 53,37.278800,127.019560
경기도 과천시 별양상가1로 31,37.430350,126.982770
경기도 양주시 옥정동로7다길 54,37.783750,127.046950
서울특별시 은평구 가좌로 233,37.603640,126.928830
경기도 성남시 중원구 산성대로504번길 2,37.442640,127.133430
서울특별시 노원구 공릉로 149,37.654780,127.060100
서울특별시 구로구 디지털로31길 120,37.496120,126.890010
경기도 고양시 일산서구 중앙로 1456,37.675030,126.754800
서울특별시 중랑구 양원역로10길 25,37.601860,127.088970
경기도 부천시 소사로 747,37.500280,126.763260
경기도 부천시 원미구 부천로 13,37.497240,126.782840
인천광역시 연수구 해돋이로 168,37.452800,126.703890
경기도화성시남양읍역골중앙로22,37.202300,126.833080
경기도 시흥시 신천로79번길 1,37.380030,126.804800
경기도 안양시 동안구 귀인로 108,37.388680,126.953060
인천광역시 서구 이음5로 65,37.456240,126.701150
인천광역시 연수구 독배로40번길 47,37.459840,126.706480
경기도 안양시 만안구 장내로149번길 28,37.386590,126.922850
서울특별시 강남구 강남대로 지하396,37.521590,127.048690
"강원 횡성군 횡성읍 횡성로 361-3,",37.747410,128.876340
경기도 김포시 김포한강9로 73,37.619620,126.717610
경기도 김포시 김포한강9로 95,37.613250,126.713060
강원특별자치도 삼척시 척주로 7,37.445740,129.160950
인천광역시 미추홀구 인하로 258,37.452380,126.702450
강원특별자치도 원주시 남원로 654,37.338760,127.921740
인천광역시 부평구 장제로 145,37.454240,126.700860
경기도 수원시 팔달구 중부대로 123,37.280330,127.021720
서울특별시 동대문구 사가정로 122,37.570670,127.039290
경기도 안산시 단원구 와동공원로 131,37.315350,126.814140
인천광역시 서구 이음1로 383,37.452340,126.703960
강원특별자치도 원주시 서원대로 125-5,37.340350,127.915630
경기도 여주시 세종로 7,37.299260,127.636660
경기도 시흥시 장현능곡로 198,37.379830,126.802730
강원특별자치도원주시단구로370,37.346590,127.915160
서울특별시 영등포구 당산로 205,37.521800,126.893760
서울특별시 동대문구 한천로 189,37.571620,127.036370
경기도 김포시 풍무로 128,37.610390,126.713520
경기도 시흥시 목감우회로 45,37.377590,126.802970
경기도 부천시 경인로 231,37.500960,126.770510
인천광역시 연수구 인천타워대로132번길 9,37.456220,126.704900
경기도 안성시 공도읍 서동대로 4478,37.005790,127.283690
경기도 용인시 처인구 포곡읍 포곡로 97-4,37.229640,127.203820
경기도 파주시 경의로1240번길 31,37.758700,126.779150
"경기 남양주시 진접읍 해밀예당3로 59,",37.637810,127.213150
경기도 부천시 원미구 신흥로 190,37.498190,126.787670
서울특별시 중랑구 용마산로125가길 41,37.606210,127.094160
서울특별시 동작구 보라매로 113,37.512850,126.941670
경기도 용인시 처인구 남사읍 한숲로 60,37.229430,127.197370
경기도 성남시 분당구 판교역로 178,37.385180,127.113940
경기도 하남시 미사강변대로 228,37.535530,127.210310
경기도 김포시 김포한강11로 288-24,37.618510,126.714750
경기도화성시봉담읍삼천병마로1271,37.195150,126.828090
경기도 부천시 옥길로 118,37.504200,126.768110
"경기 부천시 소사로 124,",37.498930,126.763020
서울특별시 관악구 보라매로 2,37.474060,126.953700
경기도 화성시 효행로 1051,37.201780,126.828170
강원특별자치도 원주시 능라동길 51,37.345580,127.925090
경기도 남양주시 화도읍 창현로 53,37.633990,127.217780
인천광역시 서구 완정로 153,37.451400,126.700820
경기도 화성시 만세구 꽃내음1길 19-18,37.203520,126.831070
인천광역시 중구 우현로 지하69,37.561730,126.995390
경기도양주시광적면가래비길62,37.782720,127.046190
서울특별시 성북구 화랑로5길 41,37.591350,127.021550
서울특별시 강동구 명일로 212,37.527720,127.120790
강원 원주시 현충로 243,37.342990,127.920990
경기도 용인시 기흥구 죽전로 2,37.280150,127.112780
경기도 군포시 산본천로 177,37.363330,126.934080
서울특별시 송파구 가락로 79,37.509800,127.103380
인천광역시 미추홀구 주승로 253,37.455080,126.708010
인천광역시 서구 청라라임로 51,37.452290,126.706370
경기도 고양시 일산동구 중앙로 1036,37.657170,126.773810
경기도 김포시 김포한강2로 110,37.616340,126.713730
"인천 연수구 신송로118번길 6,",37.404880,126.678330
인천광역시 연수구 컨벤시아대로 69,37.456380,126.707800
경기도 성남시 분당구 성남대로926번길 12,37.382410,127.114060
서울특별시 영등포구 대림로 212,37.525180,126.892450
경기도 김포시 김포한강9로76번길 63,37.612850,126.716570
서울특별시 동대문구 이문로 116,37.573420,127.043240
경기도 안양시 만안구 안양로 96,37.382310,126.922030
인천광역시 연수구 랜드마크로 110,37.460170,126.707280
서울특별시 송파구 위례광장로 270,37.517740,127.109090
경기도 양주시 옥정동로7길 91,37.780840,127.050120
경기도 수원시 팔달구 매산로 17-6,37.282090,127.014350
경기도 광주시 곤지암읍 곤지암로50번길 31,37.409930,127.252290
강원 강릉시 하평길 38,37.747600,128.875640
강원강릉시임영로142,37.753730,128.878960
인천광역시 미추홀구 독배로 437,37.458320,126.703880
서울특별시 양천구 목동중앙로 97,37.514850,126.863700
인천광역시 미추홀구 경인로 452,37.459030,126.708910
서울특별시 강북구 삼양로27길 56,37.638400,127.028870
경기도 성남시 분당구 판교역로 240,37.381750,127.123250
서울특별시 성동구 왕십리로 390,37.558560,127.033850
경기도김포시김포한강10로133번길144,37.616460,126.719650
경기도 화성시 영통로 62,37.200000,126.833300
인천광역시 남동구 백범로 216,37.453840,126.702940
경기도 광주시 경안로 13,37.407070,127.257700
인천광역시 남동구 남동대로799번길 34,37.452490,126.701880
인천광역시 부평구 경원대로 1252,37.458040,126.703940
서울특별시 동대문구 이문로 120,37.571880,127.044120
"경기 양주시 옥정동로7가길 30,",37.788850,127.044410
서울특별시 강북구 솔매로 118,37.638830,127.024400
경기도 의정부시 비우로92번길 6,37.740880,127.033330
경기도 시흥시 대은로 94,37.383670,126.802830
서울특별시 마포구 월드컵북로4길 65,37.562940,126.900880
경기도 시흥시 은계번영길 19,37.382900,126.806620
서울특별시 종로구 종로 322,37.570130,126.983990
경기도 고양시 일산동구 정발산로 24,37.654980,126.770620
서울특별시 광진구 뚝섬로 605,37.537960,127.079160
경기도 수원시 영통구 대학로 34,37.260050,127.048010
경기도 평택시 상서재로 50,36.992940,127.081050
인천광역시 서구 봉오재3로 66,37.454060,126.703910
경기도 용인시 수지구 문인로54번길 2,37.320730,127.099670
인천광역시 서구 검단로 842,37.452780,126.704560
경기도 남양주시 진접읍 해밀예당1로 30,37.634800,127.216250
서울특별시 양천구 남부순환로 356,37.519270,126.862190
경기도 평택시 송탄로 220,36.991930,127.088940
경기안성시아양1로61,37.012830,127.276160
경기도 시흥시 신천3길 27-1,37.380620,126.799510
경기도 수원시 장안구 서부로 2139,37.302220,127.006640
경기도 안양시 만안구 안양로 314,37.387170,126.929150
인천광역시 계양구 안남로 568,37.460290,126.709860
경기도 평택시 평택로32번길 11,36.987320,127.083600
경기도광명시오리로970,37.481400,126.866590
경기도 평택시 평택2로 130,36.995720,127.081920
경기도 파주시 미래로 371,37.763020,126.784870
서울특별시 강동구 천호대로 1024,37.531240,127.122120
경기도 안산시 상록구 부곡로 124,37.312330,126.848850
서울특별시 송파구 중대로 24,37.516940,127.110230
인천광역시 계양구 경명대로 1071,37.453220,126.707890
경기도 안산시 단원구 중앙대로 457-1,37.324580,126.815330
인천광역시 부평구 안남로222번길 27,37.454700,126.702490
서울특별시 은평구 갈현로 25,37.604730,126.929100
경기도 고양시 일산서구 중앙로 1391,37.676430,126.754400
인천광역시 남동구 백범로 326,37.452410,126.705530
서울특별시 강서구 곰달래로49길 15,37.550890,126.852320
경기도 오산시 죽담1로 29,37.151500,127.081830
강원 화천군 화천읍 중앙로 38,37.755880,128.880470
경기도 화성시 동탄역로 54,37.202430,126.833700
경기도 성남시 중원구 금빛로 96,37.440910,127.140810
경기도 수원시 영통구 봉영로 1612,37.262620,127.045780
서울특별시 중랑구 봉우재로13길 10,37.609180,127.095760
경기도 부천시 원미구 부일로221번길 26,37.504010,126.782020
경기도 안양시 동안구 경수대로 462,37.395520,126.959100
서울특별시 성북구 오패산로 46,37.590940,127.013740
서울특별시양천구곰달래로43,37.518470,126.864860
경기도 화성시 병점3로 27,37.201290,126.827160
경기도 고양시 덕양구 행신로 266,37.637630,126.836030
인천광역시 미추홀구 신기길 1,37.453770,126.705110
경기도 수원시 장안구 서부로 2157,37.301790,127.011480
경기도 광주시 오포읍 회안대로71번길 5,37.409940,127.250840
경기도 시흥시 봉우재로69번길 30,37.378810,126.803190
경기도 수원시 영통구 영통로153번길 98,37.255070,127.043670
서울특별시 서대문구 응암로 94,37.575090,126.939470
경기도 파주시 새꽃로 192,37.759950,126.778590
경기도 고양시 덕양구 충경로 43,37.637500,126.835020
경기도 수원시 영통구 효원로 363,37.262670,127.049670
경기도 안산시 단원구 사세충열로 1,37.322000,126.810020
경기도 성남시 분당구 성남대로171번길 8,37.382170,127.119550
경기도 광주시 오포읍 신현로 42,37.411190,127.258150
경기도수원시팔달구효원로278,37.409930,127.517810
경기도 부천시 원미구 상동로 90,37.496970,126.785390
경기도 부천시 소사구 소사로 250,37.480320,126.790720
강원 원주시 문막읍 건등로 10-19,37.338540,127.918890
경기도 안양시 동안구 부림로 121,37.393280,126.954330
서울특별시 영등포구 디지털로51길 10,37.528730,126.892180
경기도 성남시 수정구 위례동로 153,37.444500,127.129680
서울특별시 종로구 창경궁로 258,37.575260,126.982750
인천광역시 남동구 예술로 198,37.452960,126.700780
인천광역시 중구 하늘중앙로195번길 14,37.560130,127.001810
